################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.3618047523057489E-01 a       372     0    25     1    12
  1.9050063460624889E-01 a       373     0    25     1    13
 -2.2133846389175102E-01 a       374     0    25     1    14
 -1.0122721419287836E-01 a       375     0    25     1    15
  2.3664977878518731E-01 a       376     0    26     1     1
 -3.2169964227783558E-02 a       377     0    26     1     2
  6.8565088200884972E-01 a       378     0    26     1     3
  1.0781088236065892E-01 a       379     0    26     1     4
  1.6185284555079513E+00 a       380     0    26     1     5
 -1.6846391184923246E-01 a       381     0    26     1     6
  6.2897326076250959E-01 a       382     0    26     1     7
 -4.2113336764323189E-01 a       383     0    26     1     8
 -5.6009490722075461E-01 a       384     0    26     1     9
 -2.2115104512402381E-02 a       385     0    26     1    10
 -1.4434539659447271E-01 a       386     0    26     1    11
 -1.5516738563790433E-01 a       387     0    26     1    12
  1.0422392659671972E-01 a       388     0    26     1    13
 -1.4019770502193885E-01 a       389     0    26     1    14
 -5.1354810635458673E-02 a       390     0    26     1    15
 -2.9623221871730210E-01 a       391     0    27     1     1
 -7.7175953666924324E-01 a       392     0    27     1     2
 -6.7402971250756694E-01 a       393     0    27     1     3
 -2.1897525373805221E-01 a       394     0    27     1     4
 -1.2215566206214261E+00 a       395     0    27     1     5
 -2.0658902742910722E-02 a       396     0    27     1     6
 -1.1291754544398627E+00 a       397     0    27     1     7
 -4.2465614580712752E-01 a       398     0    27     1     8
 -5.3356696174032192E-01 a       399     0    27     1     9
  2.0559116825507681E-01 a       400     0    27     1    10
 -2.8079102939834805E-01 a       401     0    27     1    11
 -2.5694810834293097E-01 a       402     0    27     1    12
 -8.5910041654332581E-01 a       403     0    27     1    13
 -7.8338257904245714E-02 a       404     0    27     1    14
  2.3081035158756663E-01 a       405     0    27     1    15
 -1.2735761963117348E-02 a       406     0    28     1     1
  5.6493362304351778E-02 a       407     0    28     1     2
  1.8147503376844229E-01 a       408     0    28     1     3
 -4.0308982045602793E-02 a       409     0    28     1     4
 -8.2181259435013893E-02 a       410     0    28     1     5
  1.4433534921913868E-01 a       411     0    28     1     6
  1.0646016973969927E-01 a       412     0    28     1     7
  1.2980938528144592E-01 a       413     0    28     1     8
  2.6764249580415755E-01 a       414     0    28     1     9
 -1.2912837665358995E-01 a       415     0    28     1    10
 -1.7518823919995752E-01 a       416     0    28     1    11
  1.0517563767231537E-01 a       417     0    28     1    12
 -1.2612279121671419E-01 a       418     0    28     1    13
  1.4322237737747603E-01 a       419     0    28     1    14
 -5.8304134665025077E-02 a       420     0    28     1    15
  5.6251762728141663E-01 a       421     0    29     1     1
  1.6106167445515349E-01 a       422     0    29     1     2
 -2.0294383466003760E-01 a       423     0    29     1     3
 -1.7822529381891364E-01 a       424     0    29     1     4
  7.2451862366523345E-01 a       425     0    29     1     5
 -4.0449128038271796E-02 a       426     0    29     1     6
 -2.0069805976515248E-01 a       427     0    29     1     7
  1.2147147881966516E-01 a       428     0    29     1     8
  1.4497080757366349E-02 a       429     0    29     1     9
  4.9527442388324011E-01 a       430     0    29     1    10
 -8.1658553855022756E-02 a       431     0    29     1    11
 -2.5050042416148922E-02 a       432     0    29     1    12
 -8.9512547994273203E-02 a       433     0    29     1    13
  8.6422884392218305E-02 a       434     0    29     1    14
 -1.1961763369706874E-01 a       435     0    29     1    15
 -1.1623097603398450E-01 a       436     0    30     1     1
  3.7833925993815465E-01 a       437     0    30     1     2
  8.0729004024587020E-02 a       438     0    30     1     3
  1.4494445618568491E-01 a       439     0    30     1     4
 -5.4010974935800715E-01 a       440     0    30     1     5
  2.0522562205033731E-02 a       441     0    30     1     6
 -3.8972798320129848E-01 a       442     0    30     1     7
  2.1243531160731757E-01 a       443     0    30     1     8
  1.0585022546759039E-01 a       444     0    30     1     9
  3.0337586875598199E-01 a       445     0    30     1    10
  2.8212247785125549E-01 a       446     0    30     1    11
  1.5066016257264749E-02 a       447     0    30     1    12
  1.2453715752502860E-01 a       448     0    30     1    13
  3.2903626303470968E-01 a       449     0    30     1    14
 -2.8141046038756223E-02 a       450     0    30     1    15
 -3.3445352407012297E-01 a       451     0    31     1     1
 -3.5168363710333161E-01 a       452     0    31     1     2
 -4.7100957340391048E-01 a       453     0    31     1     3
 -7.2851687244156027E-01 a       454     0    31     1     4
 -1.6189747494260071E-01 a       455     0    31     1     5
 -2.2445751286025528E-01 a       456     0    31     1     6
 -3.1366313828633441E-01 a       457     0    31     1     7
 -3.3423887559955617E-01 a       458     0    31     1     8
 -2.1970997647335300E-01 a       459     0    31     1     9
 -2.9543272822244204E-01 a       460     0    31     1    10
  1.7746689823517800E-01 a       461     0    31     1    11
  4.5915463685813909E-02 a       462     0    31     1    12
  5.8070303566081727E-01 a       463     0    31     1    13
 -7.3638390034129808E-01 a       464     0    31     1    14
 -5.6703658987000005E-01 a       465     0    31     1    15
 -4.7888264152429971E-01 b       466     1     1
 -2.3452288044110650E-01 b       467     1     2
 -3.1924322961310952E-01 b       468     1     3
 -7.3295248891966436E-01 b       469     1     4
  1.8677277644629534E-01 b       470     1     5
 -7.7131691697422455E-02 b       471     1     6
 -3.3983362419977031E-01 b       472     1     7
 -2.7751763122083162E-01 b       473     1     8
 -3.7620849770828713E-01 b       474     1     9
 -6.2834052736768509E-02 b       475     1    10
  4.1895516426395513E-01 b       476     1    11
 -2.0765157547574971E-02 b       477     1    12
  1.2029215133728838E-01 b       478     1    13
 -1.5149936222307328E-01 b       479     1    14
 -4.7502217324893858E-01 b       480     1    15
 -7.9297115906661308E-01 a       481     1     1     2     1
 -7.1450599277544247E-01 a       482     1     1     2     2
 -9.5792093011362445E-01 a       483     1     1     2     3
 -4.7699702512154413E-01 a       484     1     1     2     4
  2.6232125587729732E-01 a       485     1     1     2     5
 -1.5518346611187808E-01 a       486     1     1     2     6
  2.6087538035559177E-01 a       487     1     1     2     7
 -3.5299439917508268E-01 a       488     1     1     2     8
  6.1862965166214368E-01 a       489     1     1     2     9
 -2.5678573489736939E-01 a       490     1     1     2    10
 -3.0292798227795742E-01 a       491     1     1     2    11
  3.7335123786688063E-01 a       492     1     1     2    12
 -2.4784182019040149E-01 a       493     1     1     2    13
  2.1147226189404134E-01 a       494     1     1     2    14
  1.2116811916895392E-01 a       495     1     1     2    15
 -3.6060996565149062E-01 a       496     1     2     2     1
  9.1370387820770493E-01 a       497     1     2     2     2
  5.7687242037133291E-01 a       498     1     2     2     3
 -5.4021757061323572E-01 a       499     1     2     2     4
 -3.4544115545701676E-01 a       500     1     2     2     5
  2.9485194313392832E-01 a       501     1     2     2     6
  1.8523236595028325E-01 a       502     1     2     2     7
 -1.2156705286585915E-02 a       503     1     2     2     8
